Easy On Me,Adele
STAY (with Justin Bieber),The Kid LAROI
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
Moth To A Flame (with The Weeknd),Swedish House Mafia
Heat Waves,Glass Animals
MONEY,LISA
Cold Heart - PNAU Remix,"Elton John, Dua Lipa"
Shivers,Ed Sheeran
My Universe,"Coldplay, BTS"
Bad Habits,Ed Sheeran
Pepas,Farruko
Woman,Doja Cat
love nwantiti (ah ah ah),CKay
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay
THATS WHAT I WANT,Lil Nas X
good 4 u,Olivia Rodrigo
Beggin',M̴neskin
Need to Know,Doja Cat
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
Life Goes On,Oliver Tree
MONTERO (Call Me By Your Name),Lil Nas X
Kiss Me More (feat. SZA),Doja Cat
Happier Than Ever,Billie Eilish
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole"
Yonaguni,Bad Bunny
Levitating (feat. DaBaby),Dua Lipa
traitor,Olivia Rodrigo
Way 2 Sexy (with Future & Young Thug),Drake
Where Are You Now,"Lost Frequencies & Calum Scott"
